RF00002,5.8S ribosomal RNA,
RF00003,U1 spliceosomal RNA,
RF00004,U2 spliceosomal RNA,
RF00005,tRNA,
RF00006,Vault RNA,
RF00007,U12 minor spliceosomal RNA,
RF00008,Hammerhead ribozyme (type III),
RF00009,Nuclear RNase P,
RF00010,Bacterial RNase P class A,
RF00011,Bacterial RNase P class B,
RF00012,Small nucleolar RNA U3,
RF00013,6S / SsrS RNA,
RF00014,DsrA RNA,
RF00015,U4 spliceosomal RNA,
RF00016,Small nucleolar RNA SNORD14,C/D
RF00017,Eukaryotic type signal recognition particle RNA,
RF00540,Small nucleolar RNA psi18S-1854,H/ACA,18S (U1854 and U1937)
RF00541,Small nucleolar RNA psi28S-2876,H/ACA,28S (U2876 and 2956)
RF00542,Small nucleolar RNA psi28S-1192,H/ACA,28S (U1192)
RF00543,Small nucleolar RNA psi18S-1377,H/ACA,18S (U1377 and U1279)
RF00544,Small nucleolar RNA psi28S-3327,H/ACA,28S (U3327)/18S (U1920)
RF00545,Small nucleolar RNA psi18S-841/snoR66,H/ACA,18S (U841)
RF00546,Small nucleolar RNA psi28S-3316,H/ACA,28S (U3316)
RF00547,TrkB IRES,,
RF00548,U11 spliceosomal RNA,,
RF00549,c-sis internal ribosome entry site (IRES),,
RF00550,Hepatitis E virus cis-reactive element,,
RF00551,Bicoid 3'-UTR regulatory element,,
RF00552,rncO,,
RF00553,Small Cajal body specific RNA 1,,
RF00554,Small nucleolar RNA SNORA48,H/ACA,28S (U3797)
RF00555,Ribosomal protein L13 leader,,
RF00556,Ribosomal protein L19 leader,,
RF00557,Ribosomal protein L10 leader,,
RF00558,Ribosomal protein L20 leader,,
RF00559,Ribosomal protein L21 leader,,
RF00560,Small nucleolar RNA SNORA17,H/ACA,28S (U4659 and U4598)
RF00561,Small nucleolar RNA SNORA40,H/ACA,28S (U4546) / 18S (U1174)
RF00562,Small nucleolar RNA SNORA49,H/ACA,
RF00563,Small nucleolar RNA SNORA53,H/ACA,
RF00564,Small Cajal body specific RNA 11,,
RF00565,Small Cajal body specific RNA 3,,
RF00566,Small nucleolar RNA SNORA35,H/ACA,"brain-specific, targets mRNA"
RF00567,Small nucleolar RNA SNORD17,C/D,28S (U3797)
RF00568,Small nucleolar RNA SNORA26,H/ACA,28S (U4522)
RF00569,Small nucleolar RNA SNORD19,C/D,18S (G683)
RF00570,Small Nucleolar RNA SNORD64,C/D,paternally expressed
RF00571,Small nucleolar RNA SNORD65,C/D,18S (U627)
RF00572,Small nucleolar RNA SNORD66,C/D,18S (C1272)
RF00573,Small nucleolar RNA SNORD67,C/D,U6 (C60)
RF00574,Small nucleolar RNA SNORD69,C/D,28S (G4464)
RF00575,Small nucleolar RNA SNORD70,C/D,18S (A512)
RF00576,Small nucleolar RNA SNORD71,C/D,5.8S (U14)
RF00577,Small nucleolar RNA SNORD72,C/D,28S (U4590)
RF00578,Small nucleolar RNA SNORD89,C/D,
RF00579,Small nucleolar RNA SNORD90,C/D,
RF00580,Small nucleolar RNA SNORD91 family,C/D,28S (G4588)
RF00581,Small nucleolar SNORD12/SNORD106,C/D,28S (G3878)
RF00582,Small Cajal body specific RNA 14,,
RF00584,Small nucleolar RNA SNORD105,C/D,18S (U799)
RF00586,Small nucleolar RNA SNORA12,H/ACA,28S (U372)
RF00588,Small nucleolar RNA SNORD41,C/D,28S (U4276)
RF00591,Small nucleolar RNA SNORD77,C/D,28S (A1521)
RF00592,Small nucleolar RNA SNORD78,C/D,28S (G4593)
RF00593,Small nucleolar RNA U83B,C/D,
RF00594,Small nucleolar RNA SNORD86,C/D,
RF00598,Small nucleolar RNA SNORA76,H/ACA,18S (U34 and U105)
RF00599,Small nucleolar RNA SNORA77,H/ACA,18S (U814)
RF00600,Small nucleolar RNA SNORA79,H/ACA,U6 (U31)
RF00601,Small Cajal body specific RNA 20,,
RF00602,Small Cajal body specific RNA 21,,
RF00603,Small nucleolar RNA SNORD23,C/D,
RF00604,Small nucleolar RNA SNORD88,C/D,28S (C3680)
RF00605,Small nucleolar RNA SNORD92,C/D,28S (A3846)
RF00606,Small Nucleolar RNA SNORD93,C/D,18S (A576)
RF00607,Small Nucleolar RNA SNORD98,C/D,18S (G867)
RF00608,Small Nucleolar RNA SNORD99,C/D,28S (A2774)
RF00609,Small Nucleolar RNA SNORD100,C/D,18S (G436)
RF00610,Small Nucleolar RNA SNORD110,C/D,18S (U1288)
RF00611,Small Nucleolar RNA SNORD111,C/D,28S (G3923)
RF00612,Small nucleolar RNA SNORD75,C/D,28S (C4032)
RF00613,Small Nucleolar RNA SNORD94,C/D,U6 (C62)
RF00614,Small nucleolar RNA SNORA11,H/ACA,snRNA modification
RF00615,Listeria Hfq binding LhrA,,
RF00616,Listeria Hfq binding LhrC,,
RF00617,flavivirus capsid hairpin cHP,,
RF00618,U4atac minor spliceosomal RNA,,
RF00619,U6atac minor spliceosomal RNA,,
RF00620,Hepatitis C alternative reading frame stem-loop,,
RF00621,Beta-globin co-transcriptional cleavage ribozyme,,
RF00622,Mammalian CPEB3 ribozyme,,
RF00623,Pseudomonas sRNA P1,,
RF00624,Pseudomonas sRNA P9,,
RF00625,Pseudomonas sRNA P11,,
RF00626,Gurken localisation signal,,
RF00627,Pseudomonas sRNA P15,,
RF00628,Pseudomonas sRNA P16,,
RF00629,Pseudomonas sRNA P24,,
RF00630,Pseudomonas sRNA P26,,
RF00632,sxy 5' UTR element,,
RF00634,S-adenosyl methionine (SAM) riboswitch,,
RF00635,Human accelerated region 1F,,
RF00636,ncRNA Repressor of NFAT (nuclear factor of activated T cells),,
RF00637,microRNA mir-276,mir-276,MIPF0000124
RF00638,microRNA MIR159,mir-159,MIPF0000010
RF00639,microRNA mir-515,mir-515,MIPF0000020
RF00640,microRNA MIR167_1,mir-167_1,MIPF0000023
RF00641,microRNA mir-154,mir-154,MIPF0000018
RF00642,microRNA mir-23,mir-23,MIPF0000027
RF00643,microRNA MIR171_1,mir-171_1,MIPF0000030
RF00644,microRNA mir-27,mir-27,MIPF0000036
RF00645,microRNA MIR169_2,mir-169_2,MIPF0000037
RF00646,microRNA mir-204,mir-204,MIPF0000042
RF00647,microRNA MIR164,mir-164,MIPF0000045
RF00648,microRNA MIR396,mir-396,MIPF0000047
RF00649,microRNA mir-128,mir-128,MIPF0000048
RF00650,microRNA mir-153,mir-153,MIPF0000050
RF00651,microRNA mir-221,mir-221,MIPF0000051
RF00652,microRNA MIR478,mir-478,MIPF0000052
RF00653,microRNA mir-22,mir-22,MIPF0000053
RF00654,microRNA mir-216,mir-216,MIPF0000054
RF00655,microRNA mir-28,mir-28,MIPF0000057
RF00656,microRNA mir-205,mir-205,MIPF0000058
RF00657,microRNA mir-184,mir-184,MIPF0000059
RF00658,microRNA mir-21,mir-21,MIPF0000060
RF00659,microRNA mir-365,mir-365,MIPF0000061
RF00660,microRNA mir-214,mir-214,MIPF0000062
RF00661,microRNA mir-31,mir-31,MIPF0000064
RF00662,microRNA mir-132,mir-132,MIPF0000065
RF00663,microRNA mir-183,mir-183,MIPF0000066
RF00664,microRNA mir-223,mir-223,MIPF0000067
RF00665,microRNA mir-290,mir-290,MIPF0000068
RF00666,microRNA mir-32,mir-32,MIPF0000069
RF00667,microRNA mir-33,mir-33,MIPF0000070
RF00668,microRNA mir-302,mir-302,MIPF0000071
RF00669,microRNA mir-96,mir-96,MIPF0000072
RF00670,microRNA mir-105,mir-105,MIPF0000074
RF00671,microRNA mir-138,mir-138,MIPF0000075
RF00672,microRNA mir-190,mir-190,MIPF0000076
RF00673,microRNA mir-217,mir-217,MIPF0000077
RF00674,microRNA mir-187,mir-187,MIPF0000078
RF00675,microRNA mir-145,mir-145,MIPF0000079
RF00676,microRNA mir-127,mir-127,MIPF0000080
RF00677,microRNA MIR168,mir-168,MIPF0000081
RF00678,microRNA mir-140,mir-140,MIPF0000085
RF00679,microRNA mir-210,mir-210,MIPF0000086
RF00680,microRNA mir-224,mir-224,MIPF0000088
RF00681,microRNA mir-198,mir-198,MIPF0000090
RF00682,microRNA mir-144,mir-144,MIPF0000093
RF00683,microRNA mir-143,mir-143,MIPF0000094
RF00684,mir-122 microRNA precursor,mir-122,MIPF0000095
RF00685,microRNA mir-36,mir-36,MIPF0000096
RF00686,microRNA mir-338,mir-338,MIPF0000097
RF00687,microRNA mir-136,mir-136,MIPF0000099
RF00688,microRNA MIR394,mir-394,MIPF0000100
RF00689,microRNA MIR390,mir-390,MIPF0000101
RF00690,microRNA MIR408,mir-408,MIPF0000102
RF00691,microRNA mir-146,mir-146,MIPF0000103
RF00692,microRNA MIR171_2,mir-171_2,MIPF0000104
RF00693,microRNA mir-147,mir-147,MIPF0000105
RF00694,microRNA mir-137,mir-137,MIPF0000106
RF00695,microRNA MIR398,mir-398,MIPF0000107
RF00696,microRNA mir-203,mir-203,MIPF0000108
RF00697,microRNA mir-186,mir-186,MIPF0000109
RF00698,microRNA mir-489,mir-489,MIPF0000111
RF00699,microRNA mir-134,mir-134,MIPF0000112
RF00700,microRNA mir-375,mir-375,MIPF0000114
RF00701,microRNA mir-126,mir-126,MIPF0000115
RF00702,microRNA mir-182,mir-182,MIPF0000116
RF00703,microRNA mir-139,mir-139,MIPF0000117
RF00704,microRNA MIR397,mir-397,MIPF0000120
RF00705,microRNA mir-202,mir-202,MIPF0000121
RF00706,microRNA mir-263,mir-263,MIPF0000122
RF00707,microRNA mir-197,mir-197,MIPF0000123
RF00708,microRNA mir-450,mir-450,MIPF0000128
RF00709,microRNA mir-455,mir-455,MIPF0000129
RF00710,microRNA mir-44,mir-44,MIPF0000132
RF00711,microRNA mir-449,mir-449,MIPF0000133
RF00712,microRNA mir-460,mir-460,MIPF0000134
RF00713,microRNA mir-239,mir-239,MIPF0000135
RF00714,microRNA MIR535,mir-535,MIPF0000136
RF00715,microRNA mir-383,mir-383,MIPF0000137
RF00716,microRNA mir-3,mir-3,MIPF0000140
RF00717,microRNA mir-315,mir-315,MIPF0000141
RF00718,microRNA mir-431,mir-431,MIPF0000142
RF00719,microRNA mir-326,mir-326,MIPF0000143
RF00720,microRNA mir-317,mir-317,MIPF0000144
RF00721,microRNA MIR475,mir-475,MIPF0000145
RF00722,microRNA mir-451,mir-451,MIPF0000148
RF00723,microRNA mir-448,mir-448,MIPF0000149
RF00724,microRNA mir-282,mir-282,MIPF0000150
RF00725,microRNA mir-iab-4,mir-,MIPF0000151
RF00726,microRNA mir-87,mir-87,MIPF0000152
RF00727,microRNA bantam,bantam,MIPF0000153
RF00728,microRNA mir-81,mir-81,MIPF0000154
RF00729,microRNA mir-278,mir-278,MIPF0000155
RF00730,microRNA mir-277,mir-277,MIPF0000156
RF00731,microRNA mir-155,mir-155,MIPF0000157
RF00732,microRNA mir-305,mir-305,MIPF0000158
RF00733,microRNA mir-296,mir-296,MIPF0000159
RF00734,microRNA mir-52,mir-52,MIPF0000160
RF00735,microRNA mir-367,mir-367,MIPF0000162
RF00736,microRNA mir-320,mir-320,MIPF0000163
RF00737,microRNA mir-322,mir-322,MIPF0000164
RF00739,microRNA MIR476,mir-476,MIPF0000166
RF00740,microRNA mir-370,mir-370,MIPF0000167
RF00741,microRNA mir-378,mir-378,MIPF0000168
RF00742,microRNA MIR162_2,mir-162_2,MIPF0000169
RF00743,microRNA mir-308,mir-308,MIPF0000171
RF00744,microRNA mir-361,mir-361,MIPF0000172
RF00745,microRNA mir-499,mir-499,MIPF0000173
RF00746,microRNA mir-454,mir-454,MIPF0000174
RF00747,microRNA mir-283,mir-283,MIPF0000175
RF00748,microRNA mir-433,mir-433,MIPF0000177
RF00749,microRNA mir-208,mir-208,MIPF0000178
RF00750,microRNA mir-458,mir-458,MIPF0000179
RF00751,microRNA mir-12,mir-12,MIPF0000181
RF00752,microRNA mir-14,mir-14,MIPF0000182
RF00753,microRNA mir-503,mir-503,MIPF0000183
RF00754,microRNA mir-279,mir-279,MIPF0000184
RF00755,microRNA mir-542,mir-542,MIPF0000185
RF00756,microRNA mir-299,mir-299,MIPF0000186
RF00757,microRNA mir-275,mir-275,MIPF0000187
RF00758,microRNA mir-346,mir-346,MIPF0000188
RF00760,microRNA mir-342,mir-342,MIPF0000190
RF00761,microRNA mir-340,mir-340,MIPF0000191
RF00762,microRNA mir-412,mir-412,MIPF0000192
RF00763,microRNA mir-339,mir-339,MIPF0000193
RF00764,microRNA mir-191,mir-191,MIPF0000194
RF00765,microRNA mir-337,mir-337,MIPF0000195
RF00766,microRNA mir-335,mir-335,MIPF0000196
RF00767,microRNA mir-150,mir-150,MIPF0000197
RF00768,microRNA MIR405,mir-405,MIPF0000198
RF00769,microRNA mir-331,mir-331,MIPF0000199
RF00770,microRNA mir-330,mir-330,MIPF0000200
RF00771,microRNA mir-185,mir-185,MIPF0000202
RF00772,microRNA mir-328,mir-328,MIPF0000203
RF00773,microRNA mir-298,mir-298,MIPF0000206
RF00774,microRNA mir-360,mir-360,MIPF0000210
RF00775,microRNA mir-432,mir-432,MIPF0000211
RF00776,microRNA mir-540,mir-540,MIPF0000212
RF00777,microRNA mir-541,mir-541,MIPF0000213
RF00778,microRNA MIR473,mir-473,MIPF0000214
RF00779,microRNA MIR474,mir-474,MIPF0000215
RF00780,microRNA MIR477,mir-477,MIPF0000216
RF00781,microRNA mir-505,mir-505,MIPF0000217
RF00782,microRNA MIR480,mir-480,MIPF0000218
RF00783,microRNA mir-484,mir-484,MIPF0000219
RF00784,microRNA mir-486,mir-486,MIPF0000220
RF00785,microRNA mir-90,mir-90,MIPF0000221
RF00786,microRNA mir-289,mir-289,MIPF0000222
RF00787,microRNA mir-288,mir-288,MIPF0000223
RF00788,microRNA mir-287,mir-287,MIPF0000224
RF00789,microRNA mir-286,mir-286,MIPF0000225
RF00790,microRNA mir-358,mir-358,MIPF0000226
RF00791,microRNA mir-357,mir-357,MIPF0000227
RF00792,microRNA mir-490,mir-490,MIPF0000229
RF00793,microRNA mir-497,mir-497,MIPF0000231
RF00794,microRNA mir-42,mir-42,MIPF0000233
RF00795,microRNA mir-43,mir-43,MIPF0000234
RF00796,microRNA mir-48,mir-48,MIPF0000235
RF00797,microRNA mir-355,mir-355,MIPF0000236
RF00798,microRNA mir-49,mir-49,MIPF0000237
RF00799,microRNA mir-354,mir-354,MIPF0000238
RF00800,microRNA mir-353,mir-353,MIPF0000239
RF00801,microRNA mir-280,mir-280,MIPF0000240
RF00802,microRNA mir-207,mir-207,MIPF0000241
RF00803,microRNA mir-425,mir-425,MIPF0000242
RF00804,microRNA mir-240,mir-240,MIPF0000243
RF00805,microRNA mir-351,mir-351,MIPF0000244
RF00806,microRNA mir-350,mir-350,MIPF0000245
RF00807,microRNA mir-314,mir-314,MIPF0000246
RF00808,microRNA mir-86,mir-86,MIPF0000247
RF00809,microRNA mir-241,mir-241,MIPF0000248
RF00810,microRNA mir-85,mir-85,MIPF0000249
RF00811,microRNA mir-84,mir-84,MIPF0000250
RF00812,microRNA mir-83,mir-83,MIPF0000251
RF00813,microRNA mir-11,mir-11,MIPF0000252
RF00814,microRNA mir-316,mir-316,MIPF0000254
RF00815,microRNA mir-244,mir-244,MIPF0000256
RF00816,microRNA mir-245,mir-245,MIPF0000257
RF00817,microRNA mir-80,mir-80,MIPF0000258
RF00818,microRNA mir-318,mir-318,MIPF0000259
RF00819,microRNA mir-246,mir-246,MIPF0000260
RF00820,microRNA mir-248,mir-248,MIPF0000262
RF00821,microRNA mir-249,mir-249,MIPF0000263
RF00822,microRNA mir-274,mir-274,MIPF0000264
RF00823,microRNA lsy-6,lys-6,MIPF0000265
RF00824,microRNA mir-50,mir-50,MIPF0000266
RF00825,microRNA mir-344,mir-344,MIPF0000267
RF00826,microRNA mir-55,mir-55,MIPF0000270
RF00827,microRNA mir-77,mir-77,MIPF0000272
RF00828,microRNA mir-75,mir-75,MIPF0000273
RF00829,microRNA mir-149,mir-149,MIPF0000274
RF00830,microRNA mir-74,mir-74,MIPF0000275
RF00831,microRNA mir-73,mir-73,MIPF0000276
RF00832,microRNA mir-71,mir-71,MIPF0000278
RF00833,microRNA mir-70,mir-70,MIPF0000279
RF00834,microRNA mir-268,mir-268,MIPF0000280
RF00835,microRNA mir-58,mir-58,MIPF0000282
RF00836,microRNA mir-250,mir-250,MIPF0000283
RF00837,microRNA mir-251,mir-251,MIPF0000284
RF00838,microRNA mir-252,mir-252,MIPF0000285
RF00839,microRNA mir-452,mir-452,MIPF0000287
RF00840,microRNA mir-374,mir-374,MIPF0000288
RF00841,microRNA mir-384,mir-384,MIPF0000289
RF00842,microRNA MIR403,mir-403,MIPF0000290
RF00843,microRNA mir-228,mir-228,MIPF0000292
RF00844,microRNA mir-67,mir-67,MIPF0000293
RF00845,microRNA MIR158,mir-158,MIPF0000294
RF00846,microRNA mir-64,mir-64,MIPF0000295
RF00847,microRNA mir-62,mir-62,MIPF0000296
RF00848,microRNA mir-61,mir-61,MIPF0000297
RF00849,microRNA mir-60,mir-60,MIPF0000298
RF00850,microRNA mir-259,mir-259,MIPF0000299
RF00851,microRNA mir-230,mir-230,MIPF0000306
RF00852,microRNA mir-231,mir-231,MIPF0000307
RF00853,microRNA mir-304,mir-304,MIPF0000308
RF00854,microRNA mir-5,mir-5,MIPF0000309
RF00855,microRNA mir-254,mir-254,MIPF0000310
RF00856,microRNA mir-232,mir-232,MIPF0000311
RF00857,microRNA mir-233,mir-233,MIPF0000312
RF00858,microRNA mir-306,mir-306,MIPF0000313
RF00859,microRNA mir-234,mir-234,MIPF0000315
RF00861,microRNA mir-488,mir-488,MIPF0000318
RF00862,microRNA mir-491,mir-491,MIPF0000319
RF00863,microRNA mir-BART17,mir-BART17,MIPF0000321
RF00864,microRNA mir-BART20,mir-BART20,MIPF0000322
RF00865,microRNA MIR169_5,mir-196_5,MIPF0000323
RF00866,microRNA mir-BART3,mir-BART3,MIPF0000324
RF00867,microRNA mir-BART5,mir-BART5,MIPF0000326
RF00868,microRNA mir-BART15,mir-BART15,MIPF0000327
RF00869,microRNA mir-BART7,mir-BART17,MIPF0000328
RF00870,microRNA mir-423,mir-423,MIPF0000329
RF00871,microRNA mir-689,mir-689,MIPF0000330
RF00872,microRNA mir-652,mir-652,MIPF0000333
RF00873,microRNA mir-550,mir-550,MIPF0000334
RF00874,microRNA mir-BART12,mir-BART12,MIPF0000335
RF00875,microRNA mir-692,mir-692,MIPF0000336
RF00876,microRNA mir-684,mir-684,MIPF0000337
RF00877,microRNA mir-592,mir-592,MIPF0000340
RF00878,microRNA mir-456,mir-456,MIPF0000341
RF00879,microRNA mir-615,mir-615,MIPF0000342
RF00882,microRNA MIR811,mir-811,MIPF0000347
RF00883,microRNA MIR820,mir-820,MIPF0000348
RF00884,microRNA MIR815,mir-815,MIPF0000349
RF00885,microRNA MIR821,mir-821,MIPF0000350
RF00886,microRNA MIR807,mir-807,MIPF0000352
RF00887,microRNA mir-802,mir-802,MIPF0000353
RF00888,microRNA mir-770,mir-770,MIPF0000355
RF00889,microRNA MIR533,mir-533,MIPF0000356
RF00890,microRNA mir-668,mir-668,MIPF0000357
RF00891,microRNA mir-671,mir-671,MIPF0000358
RF00892,microRNA mir-551,mir-551,MIPF0000360
RF00893,microRNA MIR854,mir-854,MIPF0000361
RF00894,microRNA mir-790,mir-790,MIPF0000362
RF00895,microRNA mir-786,mir-786,MIPF0000363
RF00896,microRNA mir-787,mir-787,MIPF0000364
RF00897,microRNA mir-675,mir-675,MIPF0000365
RF00898,microRNA mir-242,mir-242,MIPF0000366
RF00899,microRNA mir-235,mir-235,MIPF0000367
RF00900,microRNA mir-255,mir-255,MIPF0000368
RF00901,microRNA MIR845_1,mir-845_1,MIPF0000369
RF00902,microRNA mir-791,mir-791,MIPF0000370
RF00903,microRNA mir-359,mir-359,MIPF0000371
RF00904,microRNA mir-392,mir-392,MIPF0000372
RF00905,microRNA mir-789,mir-789,MIPF0000373
RF00906,microRNA MIR1122,mir-1122,MIPF0000382
RF00907,microRNA mir-941,mir-941,MIPF0000387
RF00908,microRNA MIR529,mir-529,MIPF0000388
RF00909,microRNA mir-883,mir-883,MIPF0000389
RF00910,microRNA mir-873,mir-873,MIPF0000390
RF00911,microRNA mir-672,mir-672,MIPF0000391
RF00912,microRNA mir-877,mir-877,MIPF0000392
RF00914,microRNA mir-674,mir-674,MIPF0000394
RF00915,microRNA mir-760,mir-760,MIPF0000395
RF00917,microRNA mir-708,mir-708,MIPF0000397
RF00918,microRNA mir-872,mir-872,MIPF0000399
RF00919,microRNA mir-874,mir-874,MIPF0000401
RF00920,microRNA MIR444,mir-444,MIPF0000402
RF00921,microRNA mir-665,mir-665,MIPF0000404
RF00922,microRNA mir-673,mir-673,MIPF0000405
RF00924,microRNA mir-343,mir-343,MIPF0000411
RF00925,microRNA MIR1027,mir-1027,MIPF0000414
RF00926,microRNA MIR1151,mir-1151,MIPF0000415
RF00927,microRNA mir-582,mir-582,MIPF0000417
RF00928,microRNA mir-590,mir-590,MIPF0000418
RF00929,microRNA mir-574,mir-574,MIPF0000419
RF00931,microRNA mir-879,mir-879,MIPF0000421
RF00932,microRNA mir-471,mir-471,MIPF0000423
RF00933,microRNA mir-875,mir-875,MIPF0000424
RF00934,microRNA mir-463,mir-463,MIPF0000425
RF00935,microRNA mir-876,mir-876,MIPF0000430
RF00936,microRNA mir-744,mir-744,MIPF0000431
RF00937,microRNA mir-653,mir-653,MIPF0000435
RF00939,microRNA mir-504,mir-504,MIPF0000437
RF00940,microRNA mir-327,mir-327,MIPF0000438
RF00941,microRNA mir-434,mir-434,MIPF0000439
RF00942,microRNA mir-1224,mir-1224,MIPF0000440
RF00943,microRNA MIR824,mir-824,MIPF0000442
RF00944,microRNA MIR1120,mir-1120,MIPF0000443
RF00945,microRNA mir-1226,mir-1226,MIPF0000444
RF00946,microRNA mir-1225,mir-1225,MIPF0000445
RF00947,microRNA mir-929,mir-929,MIPF0000447
RF00948,microRNA mir-996,mir-996,MIPF0000449
RF00949,microRNA mir-983,mir-983,MIPF0000450
RF00950,microRNA mir-927,mir-927,MIPF0000452
RF00951,microRNA mir-1302,mir-1302,MIPF0000456
RF00952,microRNA mir-650,mir-650,MIPF0000457
RF00953,microRNA mir-1497,mir-1497,MIPF0000458
RF00954,microRNA MIR1446,mir-1446,MIPF0000459
RF00955,microRNA mir-1829,mir-1829,MIPF0000460
RF00956,microRNA MIR1444,mir-1444,MIPF0000461
RF00957,microRNA mir-663,mir-663,MIPF0000462
RF00958,microRNA mir-498,mir-498,MIPF0000463
RF00959,microRNA mir-612,mir-612,MIPF0000464
RF00960,microRNA mir-661,mir-661,MIPF0000465
RF00961,microRNA mir-581,mir-581,MIPF0000466
RF00962,microRNA mir-586,mir-586,MIPF0000467
RF00963,microRNA mir-642,mir-642,MIPF0000468
RF00964,microRNA mir-938,mir-938,MIPF0000469
RF00965,microRNA mir-549,mir-549,MIPF0000470
RF00966,microRNA mir-676,mir-676,MIPF0000471
RF00967,microRNA mir-281,mir-281,MIPF0000472
RF00968,microRNA mir-626,mir-626,MIPF0000474
RF00969,microRNA mir-556,mir-556,MIPF0000475
RF00970,microRNA mir-648,mir-648,MIPF0000476
RF00971,microRNA mir-578,mir-578,MIPF0000477
RF00972,microRNA mir-651,mir-651,MIPF0000478
RF00973,microRNA mir-597,mir-597,MIPF0000479
RF00974,microRNA mir-607,mir-607,MIPF0000480
RF00975,microRNA MIR845_2,mir-845_2,MIPF0000481
RF00976,microRNA mir-583,mir-583,MIPF0000482
RF00977,microRNA mir-600,mir-600,MIPF0000484
RF00978,microRNA mir-638,mir-638,MIPF0000486
RF00979,microRNA mir-553,mir-553,MIPF0000487
RF00980,microRNA mir-643,mir-643,MIPF0000488
RF00981,microRNA mir-939,mir-939,MIPF0000490
RF00982,microRNA mir-200,mir-200,MIPF0000491
RF00983,microRNA mir-662,mir-662,MIPF0000492
RF00984,microRNA mir-576,mir-576,MIPF0000493
RF00985,microRNA mir-640,mir-640,MIPF0000494
RF00986,microRNA mir-920,mir-920,MIPF0000495
RF00987,microRNA mir-589,mir-589,MIPF0000496
RF00988,microRNA mir-657,mir-657,MIPF0000498
RF00989,microRNA mir-492,mir-492,MIPF0000499
RF00990,microRNA mir-552,mir-552,MIPF0000501
RF00991,microRNA mir-599,mir-599,MIPF0000502
RF00992,microRNA mir-593,mir-593,MIPF0000503
RF00993,microRNA mir-1473,mir-1473,MIPF0000504
RF00994,microRNA mir-1255,mir-1255,MIPF0000506
RF00995,microRNA mir-616,mir-616,MIPF0000507
RF00996,microRNA mir-631,mir-631,MIPF0000508
RF00997,microRNA mir-942,mir-942,MIPF0000511
RF00998,microRNA mir-562,mir-562,MIPF0000512
RF00999,microRNA mir-924,mir-924,MIPF0000513
RF01000,microRNA mir-580,mir-580,MIPF0000515
RF01001,microRNA mir-609,mir-609,MIPF0000516
RF01002,microRNA mir-936,mir-936,MIPF0000517
RF01003,microRNA mir-563,mir-563,MIPF0000519
RF01004,microRNA mir-557,mir-557,MIPF0000520
RF01005,microRNA MIR530,mir-530,MIPF0000521
RF01006,microRNA mir-601,mir-601,MIPF0000522
RF01007,microRNA mir-624,mir-624,MIPF0000523
RF01008,microRNA mir-636,mir-636,MIPF0000524
RF01009,microRNA mir-M7,mir-M7,MIPF0000526
RF01010,microRNA mir-632,mir-632,MIPF0000527
RF01011,microRNA mir-605,mir-605,MIPF0000528
RF01012,microRNA mir-628,mir-628,MIPF0000529
RF01013,microRNA mir-577,mir-577,MIPF0000530
RF01014,microRNA mir-1306,mir-1306,MIPF0000531
RF01015,microRNA mir-885,mir-885,MIPF0000532
RF01016,microRNA mir-584,mir-584,MIPF0000533
RF01017,microRNA mir-625,mir-625,MIPF0000534
RF01018,microRNA mir-569,mir-569,MIPF0000535
RF01019,microRNA mir-922,mir-922,MIPF0000536
RF01020,microRNA mir-572,mir-572,MIPF0000537
RF01021,microRNA mir-558,mir-558,MIPF0000538
RF01022,microRNA mir-611,mir-611,MIPF0000539
RF01023,microRNA mir-940,mir-940,MIPF0000540
RF01024,microRNA mir-944,mir-944,MIPF0000541
RF01025,microRNA mir-934,mir-934,MIPF0000542
RF01026,microRNA MIR828,mir-828,MIPF0000544
RF01027,microRNA mir-765,mir-765,MIPF0000545
RF01028,microRNA mir-633,mir-633,MIPF0000546
RF01029,microRNA mir-649,mir-649,MIPF0000547
RF01030,microRNA mir-422,mir-422,MIPF0000548
RF01031,microRNA mir-639,mir-639,MIPF0000549
RF01032,microRNA mir-554,mir-554,MIPF0000551
RF01033,microRNA mir-767,mir-767,MIPF0000552
RF01034,microRNA mir-618,mir-618,MIPF0000553
RF01035,microRNA mir-887,mir-887,MIPF0000554
RF01036,microRNA mir-567,mir-567,MIPF0000555
RF01037,microRNA mir-644,mir-644,MIPF0000556
RF01038,microRNA mir-1307,mir-1307,MIPF0000558
RF01039,microRNA mir-937,mir-937,MIPF0000560
RF01040,microRNA mir-573,mir-573,MIPF0000561
RF01041,microRNA mir-604,mir-604,MIPF0000562
RF01042,microRNA mir-891,mir-891,MIPF0000420
RF01043,microRNA MIR1023,mir-1023,MIPF0000396
RF01044,microRNA mir-345,mir-345,MIPF0000189
RF01045,microRNA mir-544,mir-544,MIPF0000436
RF01046,Wingless localisation element 3 (WLE3),,
RF01047,HBV RNA encapsidation signal epsilon,,
RF01049,Class B pyrococcus HACA sRNA,,
RF01050,Saccharomyces telomerase,,
RF01051,GEMM cis-regulatory element,,
RF01052,Arthropod 7SK RNA,,
RF01053,Deinococcus radiodurans Y RNA,,
RF01054,preQ1-II (pre queuosine) riboswitch,,
RF01055,Moco (molybdenum cofactor) riboswitch,,
RF01056,Magnesium Sensor,,
RF01057,S-adenosyl-L-homocysteine riboswitch,,
RF01058,microRNA MIR806,mir-806,MIPF0000343
RF01059,microRNA mir-598,mir-598,MIPF0000393
